ID,ParentID,Name,top,columns,sort_order,Image,date_added,date_modified,language_id,seo_keyword,description,meta_description,meta_keywords,store_ids,layout,Status
223,158,Balta Eko (Bianco Economico),,,,data/DEZUTES/Bianco economico/dovanu-dezutes-pakavimas-buteliams-bianco-economico.jpg,,,,Balta Eko (Bianco Economico),,,,,,TRUE
205,158,Bordo (Seta Bordeaux),,,,data/DEZUTES/Seta Bordeaux/50.jpg,,,,Bordo (Seta Bordeaux),,,,,,TRUE
164,158,Gofro kartono (Onda Avana),,,,data/DEZUTES/Onda Avana/57.gif,,,,Gofro kartono (Onda Avana),,,,,,TRUE
179,158,Juoda ( Seta Nero) ,,,,data/DEZUTES/Seta Nero/177.gif,,,,Juoda ( Seta Nero) ,,,,,,TRUE
350,158,Kreminė (Tela Neutro),,,,data/DEZUTES/Tela Neutro/dovanu-dezutes-kartonines-pakavimas-buteliams-kaledos-kaledines-dovanos-tela-neutro-.jpg,,,,Kreminė (Tela Neutro),,,,,,TRUE
208,158,Mėlyna ( Juta Blue) ,,,,data/DEZUTES/Juta Blue/Juta Blu but..jpg,,,,Mėlyna ( Juta Blue) ,,,,,,TRUE
219,158,Oranžinė (Terra),,,,data/DEZUTES/Terra/dezutes buteliams oranzine terra.jpg,,,,Oranžinė (Terra),,,,,,TRUE
462,158,Pilka (Matelasse Grigio),,,,/Dezutes/Matelasse Grigio/dezutes_matelasse_grigio.jpg,,,,Pilka (Matelasse Grigio),,,,,,TRUE
159,158,Prabangi ruda (Pelle Marrone)     ,,,,data/DEZUTES/Pelle Marrone/47.gif,,,,Prabangi ruda (Pelle Marrone)     ,,,,,,TRUE
187,158,Ruda (Lari Ramato),,,,data/DEZUTES/Lari Ramato/224.gif,,,,Ruda (Lari Ramato),,,,,,TRUE
183,158,Ruda (Seta Marrone),,,,data/DEZUTES/Seta Marrone/219.gif,,,,Ruda (Seta Marrone),,,,,,TRUE
160,158,Sidabrinė (Pelle Grigio),,,,data/DEZUTES/Pelle Grigio/48.gif,,,,Sidabrinė (Pelle Grigio),,,,,,TRUE
191,158,Šampaninė ( Lari Champagne),,,,data/DEZUTES/Lari Champagne/227.gif,,,,Šampaninė ( Lari Champagne),,,,,,TRUE
299,158,Šviesi auksinė (Ardesia Oro),,,,data/DEZUTES/Ardesia Oro/dovanu-dezutes-pakavimas-buteliams-kaledos-kaledines-dovanos-ardesia-or.jpg,,,,Šviesi auksinė (Ardesia Oro),,,,,,TRUE
217,158,Žalia (Seta Verde),,,,data/DEZUTES/Seta Verde/seta verde.jpg,,,,Žalia (Seta Verde),,,,,,TRUE
151,24,Dėžutės saldumynams,,,,/banners/dezutes.jpg,,,,Dėžutės saldumynams,,,,,,TRUE
509,24,Dėžutės su skaidriu langeliu,,,,/Dezutes/skaidriu lang.jpg,,,,Dėžutės su skaidriu langeliu,,,,,,TRUE
510,24,Medinės dėžės,,,,/Krikstynos/balta tuscia deze2.jpg,,,,Medinės dėžės,,,,,,TRUE
112,24,Skaidrios dėžutės,,,,/virseliai/skaidrios dezutes oki.jpg,,,,Skaidrios dėžutės,,,,,,TRUE
266,24,Vaikiškos dėžutės ,,,,/virseliai/vaikiskos dezutes.jpg,,,,Vaikiškos dėžutės ,,,,,,TRUE
398,0,Idealios medinės pakabos,,,,data/Pakabos/Medines_pakabos_.jpg,,,,Idealios medinės pakabos,,,,,,TRUE
386,398,Medinės pakabos  - NATURAL,,,,"data/Pakabos/Medines pakabos rubams, medine pakaba drabuziams, naturalios spalvos buko medienos, medis, rubu pakabos-lakuotos.jpg",,,,Medinės pakabos  - NATURAL,,,,,,TRUE
377,398,Medinės pakabos - WENGE,,,,"data/Pakabos/Medines pakabos, medine pakaba, wenge spalva, medis, pakabas-121.jpg",,,,Medinės pakabos - WENGE,,,,,,TRUE
378,398,Medinės pakabos - WHITE WASH,,,,"data/Pakabos/Medines pakabos, medine pakaba, wenge, white wash spalva, medis, pakabas.jpg",,,,Medinės pakabos - WHITE WASH,,,,,,TRUE
381,0,Išpardavimas!,,,,data/katalogas/Nuotrauku-galerija-kvietimai-dezutes.jpg,,,,Išpardavimas!,,,,,,TRUE
383,381,Dovanų dėžutės ir maišeliai,,,,data/DEZUTES/Dovanu-dezutes-su-rastais-dezute-deze.jpg,,,,Dovanų dėžutės ir maišeliai,,,,,,TRUE
56,381,Indai,,,,data/katalogas/113.jpg,,,,Indai,,,,,,TRUE
285,56,&quot;Kauno Jiesia&quot; puodeliai ,,,,data/Jiesia/logo.png,,,,&quot;Kauno Jiesia&quot; puodeliai ,,,,,,TRUE
22,381,Interjero detalės - dovanos,,,,data/interjeras2.jpg,,,,Interjero detalės - dovanos,,,,,,TRUE
329,22,Aromatinės žvakidės,,,,data/aromatines zvakides/scentchips2.jpg,,,,Aromatinės žvakidės,,,,,,TRUE
315,22,Papuošalų dėžutės,,,,data/Papuošalų dėžutės/084837.jpg,,,,Papuošalų dėžutės,,,,,,TRUE
59,22,Puošmenos namams,,,,data/katalogas/a3.jpg,,,,Puošmenos namams,,,,,,TRUE
273,22,Rojaus Angeliukai,,,,/LT angelai/angeliukai.jpg,,,,Rojaus Angeliukai,,,,,,TRUE
58,22,Vazos,,,,data/katalogas/111.jpg,,,,Vazos,,,,,,TRUE
57,22,Žvakidės,,,,data/katalogas/esprit_de_famille20Ze.jpg,,,,Žvakidės,,,,,,TRUE
534,381,Kanceliarinės prekės,,,,/Vestuves/kempineles.jpg,,,,Kanceliarinės prekės,,,,,,TRUE
382,381,Kvietimai,,,,data/kvietimu katalogai/laser_art_belvedere_grupa_png.png,,,,Kvietimai,,,,,,TRUE
384,381,Kvietimai ir kiti šventiniai atributai,,,,/Interjero detales/Indai/seimos zidinys.jpg,,,,Kvietimai ir kiti šventiniai atributai,,,,,,TRUE
483,381,Mediniai virtuvės reikmenys,,,,/Interjero detales/Mediniai įrankiai/virselis.jpg,,,,Mediniai virtuvės reikmenys,,,,,,TRUE
487,381,Mediniai įrankiai,,,,/Interjero detales/Mediniai įrankiai/virselis.jpg,,,,Mediniai įrankiai,,,,,,TRUE
385,381,Pakavimo popierius - Gera kaina!,,,,data/Pakavimo popierius.jpg,,,,Pakavimo popierius - Gera kaina!,,,,,,TRUE
379,381,Stikliniai indai,,,,data/nuomaweb.jpg,,,,Stikliniai indai,,,,,,TRUE
60,381,Vaikiškos prekės,,,,data/katalogas/106.jpg,,,,Vaikiškos prekės,,,,,,TRUE
444,60,Vaikiški nuotraukų albumai,,,,data/ALBUMAI/2016-03-14 14_07_54-CATALOGUE PANODIA 2016 BD.pdf - Adobe Reader.png,,,,Vaikiški nuotraukų albumai,,,,,,TRUE
12,0,Krikštynoms...,,,,data/krikstynos2.jpg,,,,Krikštynoms...,,,,,,TRUE
281,12,Daiktų saugojimo dėžės,,,,data/KRIKSTYNOS/vaikiskos daiktu dezes.png,,,,Daiktų saugojimo dėžės,,,,,,TRUE
40,12,Krikštynų dovanėlės,,,,/Vestuves/Saldzios dovaneles/IMG_2718a.jpg,,,,Krikštynų dovanėlės,,,,,,TRUE
484,40,Dovanėlės mažiesiems,,,,/Krikstynos/Dantuku dezutes/rausvas rankytei.jpg,,,,Dovanėlės mažiesiems,,,,,,TRUE
175,40,Dėžutės dovanėlėms,,,,/virseliai/vaikiskos dezutes.jpg,,,,Dėžutės dovanėlėms,,,,,,TRUE
449,40,Dėžutės sruogelei,,,,data/Dantukų dėžutės/CASITA_TOPO_PARA_LOS_DIENTES_DEL_RATONCITO_PEREZ_AMADEUS.jpg,,,,Dėžutės sruogelei,,,,,,TRUE
269,40,Maišeliai dovanėlėms,,,,data/KRIKSTYNOS/maiseliai-maiselis-lininiai-drobiniai-organziniai.jpg,,,,Maišeliai dovanėlėms,,,,,,TRUE
453,12,Krikštynų žvakės,,,,/zvakes/bendra.jpg,,,,Krikštynų žvakės,,,,,,TRUE
451,12,Medinės dėžės prisiminimams,,,,data/dezes prisiminimams/deze Mano krikstynos web.jpg,,,,Medinės dėžės prisiminimams,,,,,,TRUE
39,12,Nuotraukų albumai,,,,/Krikstynos/nuotrauku albumai/albumai-panodia.jpg,,,,Nuotraukų albumai,,,,,,TRUE
38,12,Palinkėjimų knygos vaikams,,,,data/Palinkejimu knygos/palinkejimu-knyga-krikstynoms-melsvos-pedutes.jpg,,,,Palinkėjimų knygos vaikams,,,,,,TRUE
287,12,Papuošimai,,,,data/PAPUOSIMAI/Sventes-dekoracijos-mano-krikstynos-viskas-krikstynoms-vaikiski-papuosimai-papuosimas.jpg,,,,Papuošimai,,,,,,TRUE
283,12,Vaikiški skėčiai...,,,,data/Latviu albumai/Children parasol ivory (2).jpg,,,,Vaikiški skėčiai...,,,,,,TRUE
454,12,Įsakymai Krikštatėviams ,,,,data/KRIKSTYNOS/Isakymai Krikstateviams1web.jpg,,,,Įsakymai Krikštatėviams ,,,,,,TRUE
452,12,Žaidimai krikštynoms,,,,/Krikstynos/zaidimai/Zaidimas  Isminciai.JPG,,,,Žaidimai krikštynoms,,,,,,TRUE
255,0,Pakabos,,,,/banners/medines pakabis.jpg,,,,Pakabos,,,,,,TRUE
302,0,Pakavimo priemonės ,,,,data/pak.jpg,,,,Pakavimo priemonės ,,,,,,TRUE
52,302,Dovanų pakavimo popierius,,,,/Pavavimo priemones/pakavimo pop.jpg,,,,Dovanų pakavimo popierius,,,,,,TRUE
523,52,Lapais (70x100cm),,,,/Pavavimo priemones/Dovanu popierius/8.jpg,,,,Lapais (70x100cm),,,,,,TRUE
522,52,Ritiniai (rulonai),,,,/Pavavimo priemones/pakavimo pop.jpg,,,,Ritiniai (rulonai),,,,,,TRUE
51,302,Dovanų papuošimai,,,,/Pavavimo priemones/papuosimai.jpg,,,,Dovanų papuošimai,,,,,,TRUE
544,51,Kortelės prie dovanų,,,,,,,,Kortelės prie dovanų,,,,,,TRUE
545,51,Papuošimai,,,,,,,,Papuošimai,,,,,,TRUE
72,51,Popierinės dekoracijos,,,,/virseliai/ozdoba_na_kieliszek_07.18.14.103_1024x1024.jpg,,,,Popierinės dekoracijos,,,,,,TRUE
518,302,Juostelės,,,,/Pavavimo priemones/juoseles.jpg,,,,Juostelės,,,,,,TRUE
50,518,Medžiaginės juostelės,,,,/Pavavimo priemones/juoseles.jpg,,,,Medžiaginės juostelės,,,,,,TRUE
540,50,Aksominės juostelės,,,,,,,,Aksominės juostelės,,,,,,TRUE
546,50,Atlasinės juostelės,,,,,,,,Atlasinės juostelės,,,,,,TRUE
539,50,Blizgios juostelės,,,,,,,,Blizgios juostelės,,,,,,TRUE
541,50,Grosgrain juostelės,,,,,,,,Grosgrain juostelės,,,,,,TRUE
543,50,Organzinės juostelės,,,,,,,,Organzinės juostelės,,,,,,TRUE
538,50,Pigios atlasinės juostelės,,,,,,,,Pigios atlasinės juostelės,,,,,,TRUE
